,kfr_pooled_pooled_p25,kfr_white_male_p25,kfr_black_male_p25,kfr_black_pooled_p25,kfr_white_pooled_p25,jail_black_male_p25,jail_white_male_p25,jail_black_pooled_p25,jail_white_pooled_p25,jail_pooled_pooled_p25,kfr_top20_black_male_p25,kfr_top20_white_male_p25,kfr_top20_black_pooled_p25,kfr_top20_white_pooled_p25,kfr_top20_pooled_pooled_p25
naive,0.47310317487017667,0.48717594258091484,0.3457044385856257,0.38065541789050794,0.5091283679059345,0.12021525223217805,0.039169855151113916,0.057780622371369536,0.022953176231009606,0.03687812341094837,0.06753466725703904,0.1982416760974163,0.07801251712993221,0.2193114105036995,0.18389992203044997
indep_npmle,0.47451609848490767,0.4957236743448926,0.3480928838760411,0.38247844487398647,0.5163207394834762,0.12364060789563362,0.039039205052763475,0.05841139725588989,0.023188592081255177,0.04014062143315809,0.05935142743466279,0.21459066811222258,0.07072989358215472,0.23178663278123127,0.1860732988279802
indep_gauss,0.47454729785263633,0.49611065548818245,0.3477504711322603,0.38226717829947093,0.5161461659208871,0.12196385145898074,0.03790646779980934,0.05790161483644779,0.02258042962887361,0.04002194017269952,0.05662290910774625,0.21490792621122295,0.06771192825430264,0.23189046115639034,0.1859613753478334
close_npmle,0.4744846670525653,0.4957009188850535,0.3540620993951331,0.38652503995345244,0.5163931639530968,0.1564024973487545,0.06030514037309617,0.08213970895806469,0.034208003346176755,0.043941695697086613,0.09360161397990915,0.2249677946720468,0.10197113700380228,0.23505226398292392,0.18669545797684803
close_gauss,0.4745392545838313,0.4957500272742873,0.35339899375101974,0.38583319841473623,0.5161432927831641,0.15607650064419282,0.0559940149272403,0.08037304879831592,0.030703329237965597,0.043789855901946964,0.09112338204965674,0.2235880214868237,0.09867902481914323,0.23496658175558008,0.18658845152469303
close_gauss_parametric,0.47464071289616006,0.49613293896618654,0.3522303686813844,0.3852681329745461,0.5160797277938324,0.15524487152062325,0.05891929733234331,0.0803070704662614,0.03224964805932321,0.04379958202062801,0.0928188371984994,0.22285201865378376,0.0997812818878005,0.23455832888651065,0.18653357598100384
indep_npmle_nocov,0.47273169430954537,0.48671247877035756,0.33848295088819785,0.37460681257503536,0.5098715994782202,0.10281202485655284,0.020858244572415655,0.04756076895585758,0.013309407263798631,0.03457978679091785,0.03673893919359331,0.19125513810716616,0.048555355080871325,0.21663926028023425,0.1825926491297581
indep_gauss_nocov,0.4721372398687973,0.48667677430011685,0.3362949020457853,0.3699364889742367,0.509623488001136,0.10118449740583522,0.01781204156241545,0.04650377515147159,0.011337181202963502,0.033574738619431894,0.03477125534876808,0.18811189317383198,0.04572122914185076,0.2159079339212256,0.180506163761404
close_npmle_nocov,0.473686435800235,0.4882813604879299,0.35518213160968154,0.387389412036685,0.509837151274912,0.14701434893696488,0.0592062837628547,0.07374276444705864,0.033397334558757555,0.04121274368246004,0.09176700900978844,0.21533211952697412,0.0996921498401636,0.2246689424751546,0.18572377682580135
close_gauss_nocov,0.4738337871691896,0.48799673662613113,0.35511504434794416,0.3867270776978952,0.5096977756021821,0.14679944917946458,0.0547947318958123,0.0734666534713312,0.031056304507404695,0.04111271811724095,0.08982347274607527,0.21511547301140516,0.09784733078089068,0.22487893252233784,0.1855028136150814
close_gauss_parametric_nocov,0.47395341355140164,0.48784603795181314,0.3545425179069339,0.38590352352729296,0.5096214612994359,0.14631704523737973,0.05806985455650751,0.07194349838247707,0.03210599208364453,0.041159163524284226,0.09144755420084388,0.21425889488229308,0.09956977489022516,0.2235196087175002,0.18537159292503358
