,kfr_pooled_pooled_p25,kfr_white_male_p25,kfr_black_male_p25,kfr_black_pooled_p25,kfr_white_pooled_p25,jail_black_male_p25,jail_white_male_p25,jail_black_pooled_p25,jail_white_pooled_p25,jail_pooled_pooled_p25,kfr_top20_black_male_p25,kfr_top20_white_male_p25,kfr_top20_black_pooled_p25,kfr_top20_white_pooled_p25,kfr_top20_pooled_pooled_p25
naive,0.0004150358417598315,0.003504805559327323,0.0022132690937066817,0.0020798216364998857,0.0021157202446493596,0.003464136281735162,0.002370936181655972,0.0017890927275211587,0.001253253203851805,0.00018943817803739526,0.0025904080750987148,0.006267946760251531,0.0029052471936464345,0.0040395408281517125,0.000715214031308895
indep_npmle,0.0002749801647937049,0.0013653012553340468,0.0008421739691685822,0.0008530355081070913,0.001025779565706362,0.0017814985399448888,0.000906323077634425,0.0008488499972425614,0.0002450948905615324,7.983691253379549e-05,0.0012469377516369626,0.0020907956251740136,0.0012402408579221989,0.0015532688850033196,0.00043510413255211177
indep_gauss,0.00027846123927802483,0.0014262431508458274,0.000876686844753288,0.000916119571200032,0.0010580926768049114,0.001976852130700521,0.0009793666737325211,0.0009042386839058137,0.00030019373653407584,9.156973150494289e-05,0.001336395944298878,0.00235005961386175,0.0013548798236167209,0.0017049890152530396,0.0005068234957338179
close_npmle,0.0002709617025316558,0.0013057398495583804,0.000764421680243504,0.0007942108792599063,0.0009687499704120854,0.00039182589039378794,0.00020650980665197472,0.00013565465894021622,0.00011813585676660655,2.6582387355064952e-05,0.0001898592487455019,0.0012289013938943283,0.00024716180815452857,0.001158482423887856,0.0004077109019750635
close_gauss,0.0002712593887071568,0.0013373824586999854,0.0007798121423508661,0.0007976806689820386,0.0009780124086692784,0.0004004953367144631,0.0002872145013620153,0.00014992843503569642,0.00015856883861534396,3.0212946581720072e-05,0.0002182446250590421,0.0013697252766296456,0.0002877391332683069,0.001189821498971926,0.00041310927791168823
close_gauss_parametric,0.00027267438951657686,0.0013358763286565353,0.000796115619969174,0.0008053971520157331,0.0009786071102084464,0.0009103285922015937,0.0004347781294707279,0.0004962494822291693,0.00016722251526990226,3.4606338856932186e-05,0.000570496472028722,0.0014331073549767126,0.0005956455821518931,0.0012400692787842863,0.0004197992435079409
oracle,0.00025775191287573255,0.0011856976455609,0.000657002328718435,0.0007045559000830283,0.0009108030655384201,0.00022007526232498223,0.0001558136422310657,8.019806052397428e-05,8.76481959411105e-05,1.1057585933125855e-05,8.359048027545575e-05,0.0008501833939086499,0.0001563196693385184,0.0009762561781847278,0.0003834504267581031
indep_npmle_nocov,0.0003792277907786017,0.0019111317294139328,0.0013828556685280134,0.0012454971686883792,0.0013892368599902325,0.002127853918306933,0.0011738305291994898,0.000938025906275487,0.00036219760105352035,0.0001339582304631047,0.00202640904339261,0.00377685131222297,0.0021873584182941284,0.0024724780323232415,0.0006880014481103009
indep_gauss_nocov,0.00042285361932236623,0.002040649825626913,0.0016973338626997305,0.0016486286364730742,0.001449948044163994,0.002660414916435919,0.0013810936529397193,0.0010660402593923935,0.00047544518656636984,0.00020184384361142347,0.0026225203359254642,0.004992781327000486,0.0028933641225195855,0.003097449673498197,0.0012509035592791682
close_npmle_nocov,0.0003424907951611527,0.001775457008990967,0.0008718793198086097,0.000891540110541456,0.0013244673633821663,0.0006002201849532745,0.00023527713289568737,0.00019692025147125143,0.0001310305555618234,6.914499408410522e-05,0.00018129729426945632,0.002345196783660808,0.00029851253836061305,0.0020597256982235472,0.000499418353486175
close_gauss_nocov,0.00034320499550457483,0.0017830751892098232,0.0008830416256852811,0.0008942516128976094,0.0013229955771365933,0.0006068966564467904,0.00030903469954604546,0.0002088212862983608,0.00016780914468733337,6.958579997818915e-05,0.00020784747971291765,0.002374248293906327,0.0003294946679526171,0.002060586932339817,0.0004994258760906216
close_gauss_parametric_nocov,0.0003445349457480484,0.0017902537193781778,0.0009198183055774909,0.0009109865499702149,0.0013415816812509403,0.0008477628855944664,0.00043245963335193356,0.0005186200316979245,0.00017530022721559354,6.957736403328368e-05,0.000627659813939201,0.002390292933820693,0.0007218725891428824,0.0020964499063844608,0.0005038977097014169
