,kfr_pooled_pooled_p25,kfr_white_male_p25,kfr_black_male_p25,kfr_black_pooled_p25,kfr_white_pooled_p25,jail_black_male_p25,jail_white_male_p25,jail_black_pooled_p25,jail_white_pooled_p25,jail_pooled_pooled_p25,kfr_top20_black_male_p25,kfr_top20_white_male_p25,kfr_top20_black_pooled_p25,kfr_top20_white_pooled_p25,kfr_top20_pooled_pooled_p25
close_gauss,0.00027062687478165976,,,0.0007976543755431094,,,,0.00015020980477735066,,3.031077316219726e-05,,,0.00028679694870718743,,0.00041331593725496096
close_gauss_nocov,0.0003431748159084176,,,0.000893120872273902,,,,0.00020901188200380926,,6.970279586581907e-05,,,0.000328595066252358,,0.0004992839667457919
close_gauss_parametric,0.00027252549307722247,,,0.0008061814028929007,,,,0.0004955443604422074,,3.4524749627470067e-05,,,0.000600060183003245,,0.00042041282288158953
close_gauss_parametric_nocov,0.0003445533939060966,,,0.0009109287986677386,,,,0.0005192404841812767,,6.964124803235794e-05,,,0.0007330925437489112,,0.0005041791857737808
close_npmle,0.00020879205578968143,,,0.0006148018548883126,,,,0.00011828172853948143,,2.698284635397729e-05,,,0.00021712610874641166,,0.0003068749070845577
close_npmle_nocov,0.00034097560795341367,,,0.0007877838267487432,,,,0.0001867120110240753,,6.844488728464078e-05,,,0.00027166880807301966,,0.00047407407667021055
indep_gauss,0.00027868762292234355,,,0.0009170345330603946,,,,0.0009051528456939298,,9.17050781535565e-05,,,0.0013620738925182673,,0.0005101857444346938
indep_gauss_nocov,0.00042347818742020184,,,0.0016494958376287645,,,,0.0010666805770456317,,0.00020178831523536358,,,0.0028979088641887495,,0.0012554841623809545
naive,0.000414723986039542,,,0.00207706229635658,,,,0.0017885060276568734,,0.0001890067948335492,,,0.002893157440086005,,0.0007137084687458564
oracle,0.00020765929970960456,,,0.0006033356470773802,,,,7.358124042408111e-05,,1.322007432315105e-05,,,0.0001483139887225963,,0.0002948724572973116
